scenario,year,cotton_withdrawal,cotton_scarcity
ssp_ag2_soc3_gwlo_rs_miroc_NDC_Tax_ffict,2100,38.667,2.486159962
ssp_ag2_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,46.6787,2.753451096
ssp_ag2_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,36.5564,2.293327349
ssp_ag2_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,44.07815,2.621517146
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,37.5237,2.532750871
ssp_ag5_soc2_gwmed_exp_ipsl_NDC_Tax_uct,2100,36.1166,2.638348284
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,45.7451,2.79862697
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,36.6071,2.340988595
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,43.43655,2.605715058
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,37.4176,2.590960912
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,45.9736,2.86512617
ssp_ag2_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,37.7764,2.490885373
ssp_ag2_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,45.274,2.755887448
ssp_ag2_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,35.6701,2.284894668
ssp_ag2_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,42.90124,2.624788662
ssp_ag2_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,37.6892,2.527715836
ssp_ag5_soc2_gwmed_exp_miroc_NDC_Tax_ffict,2100,27.615,2.106023852
ssp_ag2_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,45.848,2.792083623
ssp_ag2_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,36.7172,2.344815179
ssp_ag2_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,43.48276,2.604080312
ssp_ag2_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,37.6598,2.590306049
ssp_ag2_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,46.14,2.861779748
ssp_ag2_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,38.0085,2.488865955
ssp_ag2_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,45.5308,2.752470168
ssp_ag2_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,35.7654,2.285912139
ssp_ag2_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,42.89315,2.622764616
ssp_ag2_soc4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,26.5432,2.093233443
ssp_ag5_soc2_gwmed_exp_miroc_NDC_Tax_uct,2100,35.6159,2.540091264
ssp_ag2_soc4_gwhi_exp_gfdl_NDC_Tax_uct,2100,33.9313,2.523298401
ssp_ag2_soc4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,26.9367,1.878862088
ssp_ag2_soc4_gwhi_exp_hadgem_NDC_Tax_uct,2100,33.2793,2.300793531
ssp_ag2_soc4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,26.2201,2.159600315
ssp_ag2_soc4_gwhi_exp_ipsl_NDC_Tax_uct,2100,33.9571,2.586148038
ssp_ag2_soc4_gwhi_exp_miroc_NDC_Tax_ffict,2100,27.2234,2.02367647
ssp_ag2_soc4_gwhi_exp_miroc_NDC_Tax_uct,2100,33.9622,2.485382368
ssp_ag2_soc4_gwhi_exp_noresm_NDC_Tax_ffict,2100,25.5319,1.877076763
ssp_ag2_soc4_gwhi_exp_noresm_NDC_Tax_uct,2100,32.6628,2.333896365
ssp_ag2_soc4_gwhi_rs_gfdl_NDC_Tax_ffict,2100,26.6326,2.095137606
ssp_ag5_soc2_gwmed_exp_noresm_NDC_Tax_ffict,2100,25.9712,2.011104487
ssp_ag2_soc4_gwhi_rs_gfdl_NDC_Tax_uct,2100,33.9738,2.521219632
ssp_ag2_soc4_gwhi_rs_hadgem_NDC_Tax_ffict,2100,27.1148,1.89630498
ssp_ag2_soc4_gwhi_rs_hadgem_NDC_Tax_uct,2100,33.2908,2.302006484
ssp_ag2_soc4_gwhi_rs_ipsl_NDC_Tax_ffict,2100,26.3523,2.162852028
ssp_ag2_soc4_gwhi_rs_ipsl_NDC_Tax_uct,2100,34.0552,2.586254748
ssp_ag2_soc4_gwhi_rs_miroc_NDC_Tax_ffict,2100,27.3586,2.025992755
ssp_ag2_soc4_gwhi_rs_miroc_NDC_Tax_uct,2100,34.0321,2.48260926
ssp_ag2_soc4_gwhi_rs_noresm_NDC_Tax_ffict,2100,25.8758,1.920674668
ssp_ag2_soc4_gwhi_rs_noresm_NDC_Tax_uct,2100,32.6758,2.333834218
ssp_ag2_soc4_gwlo_exp_gfdl_NDC_Tax_ffict,2100,26.5667,2.093306834
ssp_ag5_soc1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,22.6643,2.035877443
ssp_ag5_soc2_gwmed_exp_noresm_NDC_Tax_uct,2100,33.8376,2.427263162
ssp_ag2_soc4_gwlo_exp_gfdl_NDC_Tax_uct,2100,33.999,2.523735201
ssp_ag2_soc4_gwlo_exp_hadgem_NDC_Tax_ffict,2100,26.943,1.852844989
ssp_ag2_soc4_gwlo_exp_hadgem_NDC_Tax_uct,2100,33.2777,2.299975556
ssp_ag2_soc4_gwlo_exp_ipsl_NDC_Tax_ffict,2100,26.3511,2.164798425
ssp_ag2_soc4_gwlo_exp_ipsl_NDC_Tax_uct,2100,34.0805,2.586642838
ssp_ag2_soc4_gwlo_exp_miroc_NDC_Tax_ffict,2100,27.3037,2.044322566
ssp_ag2_soc4_gwlo_exp_miroc_NDC_Tax_uct,2100,34.1068,2.483846532
ssp_ag2_soc4_gwlo_exp_noresm_NDC_Tax_ffict,2100,25.77,1.855471517
ssp_ag2_soc4_gwlo_exp_noresm_NDC_Tax_uct,2100,32.8825,2.333080011
ssp_ag2_soc4_gwlo_rs_gfdl_NDC_Tax_ffict,2100,26.7154,2.096615295
ssp_ag5_soc2_gwmed_rs_gfdl_NDC_Tax_ffict,2100,27.1005,2.174083496
ssp_ag2_soc4_gwlo_rs_gfdl_NDC_Tax_uct,2100,34.0868,2.521923161
ssp_ag2_soc4_gwlo_rs_hadgem_NDC_Tax_ffict,2100,27.0402,1.887988796
ssp_ag2_soc4_gwlo_rs_hadgem_NDC_Tax_uct,2100,33.32,2.302777279
ssp_ag2_soc4_gwlo_rs_ipsl_NDC_Tax_ffict,2100,26.4503,2.164570725
ssp_ag2_soc4_gwlo_rs_ipsl_NDC_Tax_uct,2100,34.3619,2.587808823
ssp_ag2_soc4_gwlo_rs_miroc_NDC_Tax_ffict,2100,27.5077,2.047653516
ssp_ag2_soc4_gwlo_rs_miroc_NDC_Tax_uct,2100,34.3589,2.48170256
ssp_ag2_soc4_gwlo_rs_noresm_NDC_Tax_ffict,2100,25.9347,1.921373835
ssp_ag2_soc4_gwlo_rs_noresm_NDC_Tax_uct,2100,33.0065,2.335667796
ssp_ag2_soc4_gwmed_exp_gfdl_NDC_Tax_ffict,2100,26.5443,2.093630291
ssp_ag5_soc2_gwmed_rs_gfdl_NDC_Tax_uct,2100,35.8341,2.572698597
ssp_ag2_soc4_gwmed_exp_gfdl_NDC_Tax_uct,2100,33.9297,2.523249778
ssp_ag2_soc4_gwmed_exp_hadgem_NDC_Tax_ffict,2100,26.9352,1.878434492
ssp_ag2_soc4_gwmed_exp_hadgem_NDC_Tax_uct,2100,33.2698,2.30087504
ssp_ag2_soc4_gwmed_exp_ipsl_NDC_Tax_ffict,2100,26.2238,2.162852601
ssp_ag2_soc4_gwmed_exp_ipsl_NDC_Tax_uct,2100,33.9588,2.586160771
ssp_ag2_soc4_gwmed_exp_miroc_NDC_Tax_ffict,2100,27.2423,2.045639478
ssp_ag2_soc4_gwmed_exp_miroc_NDC_Tax_uct,2100,33.9485,2.485373856
ssp_ag2_soc4_gwmed_exp_noresm_NDC_Tax_ffict,2100,25.6765,1.822564167
ssp_ag2_soc4_gwmed_exp_noresm_NDC_Tax_uct,2100,32.6585,2.334085417
ssp_ag2_soc4_gwmed_rs_gfdl_NDC_Tax_ffict,2100,26.647,2.095375575
ssp_ag5_soc2_gwmed_rs_hadgem_NDC_Tax_ffict,2100,27.1051,2.003458798
ssp_ag2_soc4_gwmed_rs_gfdl_NDC_Tax_uct,2100,33.9491,2.521634879
ssp_ag2_soc4_gwmed_rs_hadgem_NDC_Tax_ffict,2100,27.0121,1.883380831
ssp_ag2_soc4_gwmed_rs_hadgem_NDC_Tax_uct,2100,33.2768,2.302257657
ssp_ag2_soc4_gwmed_rs_ipsl_NDC_Tax_ffict,2100,26.3769,2.166103981
ssp_ag2_soc4_gwmed_rs_ipsl_NDC_Tax_uct,2100,34.073,2.585067017
ssp_ag2_soc4_gwmed_rs_miroc_NDC_Tax_ffict,2100,27.3863,2.050511811
ssp_ag2_soc4_gwmed_rs_miroc_NDC_Tax_uct,2100,34.0171,2.482485833
ssp_ag2_soc4_gwmed_rs_noresm_NDC_Tax_ffict,2100,25.7938,1.921244719
ssp_ag2_soc4_gwmed_rs_noresm_NDC_Tax_uct,2100,32.6791,2.333871668
ssp_ag2_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,24.4882,2.113081826
ssp_ag5_soc2_gwmed_rs_hadgem_NDC_Tax_uct,2100,34.2616,2.403710282
ssp_ag2_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,32.2036,2.573696415
ssp_ag2_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,25.1033,1.853065528
ssp_ag2_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,32.1451,2.248956306
ssp_ag2_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,24.2598,2.179598247
ssp_ag2_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,32.3146,2.649299343
ssp_ag2_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,25.478,2.052259664
ssp_ag2_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,32.5596,2.515287534
ssp_ag2_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,23.60195,1.876759992
ssp_ag2_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,31.28877,2.285915684
ssp_ag2_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,24.5613,2.111733213
ssp_ag5_soc2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,26.8575,2.255616858
ssp_ag2_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,32.2212,2.565295657
ssp_ag2_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,25.1317,1.841993266
ssp_ag2_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,32.1524,2.24817674
ssp_ag2_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,24.4416,2.178849311
ssp_ag2_soc5_gwhi_rs_ipsl_NDC_Tax_uct,2100,32.3843,2.645157862
ssp_ag2_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,25.5918,2.052065414
ssp_ag2_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,32.6208,2.506830275
ssp_ag2_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,23.66521,1.897232775
ssp_ag2_soc5_gwhi_rs_noresm_NDC_Tax_uct,2100,31.28291,2.28291561
